"pga_tournament_id","pga_tournament_name","year","pga_course_name","dg_event_id","dg_event_name","dg_course_name","match_method"
"R2025540","Mexico Open at VidantaWorld",2025,"Vidanta Vallarta",540,"Mexico Open at VidantaWorld","Vidanta Vallarta","exact_name_year"
"R2025010","Cognizant Classic in The Palm Beaches",2025,"PGA National Resort (The Champion Course)",10,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion Course)","exact_name_year"
"R2025009","Arnold Palmer Invitational presented by Mastercard",2025,"Arnold Palmer's Bay Hill Club & Lodge",9,"Arnold Palmer Invitational presented by Mastercard","Arnold Palmer's Bay Hill Club & Lodge","exact_name_year"
"R2025483","Puerto Rico Open",2025,"Grand Reserve Golf Club",483,"Puerto Rico Open","Grand Reserve Golf Club","exact_name_year"
"R2025011","THE PLAYERS Championship",2025,"TPC Sawgrass (THE PLAYERS Stadium Course)",11,"THE PLAYERS Championship","TPC Sawgrass (THE PLAYERS Stadium Course)","exact_name_year"
"R2025475","Valspar Championship",2025,"Innisbrook Resort (Copperhead Course)",475,"Valspar Championship","Innisbrook Resort (Copperhead Course)","exact_name_year"
"R2025020","Texas Children's Houston Open",2025,"Memorial Park Golf Course",20,"Texas Children's Houston Open","Memorial Park Golf Course","exact_name_year"
"R2025041","Valero Texas Open",2025,"TPC San Antonio (Oaks Course)",41,"Valero Texas Open","TPC San Antonio (Oaks Course)","exact_name_year"
"R2025014","Masters Tournament",2025,"Augusta National Golf Club",14,"Masters Tournament","Augusta National Golf Club","exact_name_year"
"R2025012","RBC Heritage",2025,"Harbour Town Golf Links",12,"RBC Heritage","Harbour Town Golf Links","exact_name_year"
"R2025522","Corales Puntacana Championship",2025,"Puntacana Resort & Club (Corales Golf Course)",522,"Corales Puntacana Championship","Puntacana Resort (Corales Golf Course)","exact_name_year"
"R2025018","Zurich Classic of New Orleans",2025,"TPC Louisiana",18,"Zurich Classic of New Orleans","TPC Louisiana","exact_name_year"
"R2025019","THE CJ CUP Byron Nelson",2025,"TPC Craig Ranch",19,"THE CJ CUP Byron Nelson","TPC Craig Ranch","exact_name_year"
"R2025480","Truist Championship",2025,"The Philadelphia Cricket Club (Wissahickon Course)",480,"Truist Championship","The Philadelphia Cricket Club (Wissahickon Course)","exact_name_year"
"R2025553","ONEflight Myrtle Beach Classic",2025,"Dunes Golf and Beach Club",553,"ONEflight Myrtle Beach Classic","Dunes Golf and Beach Club","exact_name_year"
"R2025033","PGA Championship",2025,"Quail Hollow Club",33,"PGA Championship","Quail Hollow-PGA Championship","exact_name_year"
"R2025021","Charles Schwab Challenge",2025,"Colonial Country Club",21,"Charles Schwab Challenge","Colonial Country Club","exact_name_year"
"R2025023","the Memorial Tournament presented by Workday",2025,"Muirfield Village Golf Club",23,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club","exact_name_year"
"R2025032","RBC Canadian Open",2025,"TPC Toronto at Osprey Valley (North Course)",32,"RBC Canadian Open","TPC Toronto at Osprey Valley (North Course)","exact_name_year"
"R2025026","U.S. Open",2025,"Oakmont Country Club",26,"U.S. Open","Oakmont Country Club","exact_name_year"
"R2025034","Travelers Championship",2025,"TPC River Highlands",34,"Travelers Championship","TPC River Highlands","exact_name_year"
"R2025524","Rocket Classic",2025,"Detroit Golf Club",524,"Rocket Classic","Detroit Golf Club","exact_name_year"
"R2025030","John Deere Classic",2025,"TPC Deere Run",30,"John Deere Classic","TPC Deere Run","exact_name_year"
"R2025541","Genesis Scottish Open",2025,"The Renaissance Club",541,"Genesis Scottish Open","The Renaissance Club","exact_name_year"
"R2025518","ISCO Championship",2025,"Hurstbourne Country Club",518,"ISCO Championship","Hurstbourne Country Club","exact_name_year"
"R2025100","The Open Championship",2025,"Royal Portrush Golf Club",100,"The Open Championship","Royal Portrush Golf Club","exact_name_year"
"R2025472","Barracuda Championship",2025,"Tahoe Mountain Club (Old Greenwood)",472,"Barracuda Championship","Tahoe Mountain Club (Old Greenwood)","exact_name_year"
"R2025525","3M Open",2025,"TPC Twin Cities",525,"3M Open","TPC Twin Cities","exact_name_year"
"R2025013","Wyndham Championship",2025,"Sedgefield Country Club",13,"Wyndham Championship","Sedgefield Country Club","exact_name_year"
"R2025027","FedEx St. Jude Championship",2025,"TPC Southwind",27,"FedEx St. Jude Championship","TPC Southwind","exact_name_year"
"R2025028","BMW Championship",2025,"Caves Valley Golf Club",28,"BMW Championship","Caves Valley Golf Club","exact_name_year"
"R2025060","TOUR Championship",2025,"East Lake Golf Club",60,"TOUR Championship","East Lake Golf Club","exact_name_year"
"R2025464","Procore Championship",2025,"Silverado Resort (North Course)",464,"Procore Championship","Silverado Resort (North Course)","exact_name_year"
"R2025468","Ryder Cup",2025,"Bethpage State Park (Black)",NA,NA,NA,"unmatched"
"R2025054","Sanderson Farms Championship",2025,"The Country Club of Jackson",54,"Sanderson Farms Championship","The Country Club of Jackson","exact_name_year"
"R2025527","Baycurrent Classic",2025,"Yokohama Country Club (West Course)",527,"Baycurrent Classic","Yokohama Country Club","exact_name_year"
"R2025554","Bank of Utah Championship",2025,"Black Desert Resort",554,"Bank of Utah Championship","Black Desert Resort","exact_name_year"
"R2025457","World Wide Technology Championship",2025,"El Cardonal at Diamante",457,"World Wide Technology Championship","El Cardonal at Diamante","exact_name_year"
"R2025528","Butterfield Bermuda Championship",2025,"Port Royal Golf Course",528,"Butterfield Bermuda Championship","Port Royal Golf Course","exact_name_year"
"R2025493","The RSM Classic",2025,"Sea Island Golf Club (Seaside Course)",493,"The RSM Classic","Sea Island Golf Club (Seaside Course)","exact_name_year"
"R2025478","Hero World Challenge",2025,"Albany GC",478,"Hero World Challenge","Albany GC","exact_name_year"
"R2025088","PGA TOUR Q-School presented by Korn Ferry",2025,"Dye's Valley Course",88,"PGA TOUR Q-School presented by Korn Ferry","Sawgrass Country Club","exact_name_year"
"R2025551","Grant Thornton Invitational",2025,"Tiburón Golf Club",NA,NA,NA,"unmatched"
"R2026006","Sony Open in Hawaii",2026,"Waialae Country Club",6,"Sony Open in Hawaii","Waialae Country Club","exact_name_year"
"R2026002","The American Express",2026,"Pete Dye Stadium Course",2,"The American Express","Pete Dye Stadium Course","exact_name_year"
