"pga_tournament_id","pga_tournament_name","year","pga_course_name","dg_event_id","dg_event_name","dg_course_name","match_method"
"R2022002","The American Express",2022,"Pete Dye Stadium Course",2,"The American Express","La Quinta Country Club","exact_name_year"
"R2022004","Farmers Insurance Open",2022,"Torrey Pines Golf Course (South Course)",4,"Farmers Insurance Open","Torrey Pines (South)","exact_name_year"
"R2022005","AT&T Pebble Beach Pro-Am",2022,"Pebble Beach Golf Links",5,"AT&T Pebble Beach Pro-Am","Spyglass Hill Golf Course","exact_name_year"
"R2022003","WM Phoenix Open",2022,"TPC Scottsdale (Stadium Course)",3,"WM Phoenix Open","TPC Scottsdale","exact_name_year"
"R2022007","The Genesis Invitational",2022,"The Riviera Country Club",7,"The Genesis Invitational","The Riviera Country Club","exact_name_year"
"R2022010","The Honda Classic",2022,"PGA National Resort (The Champion)",10,"The Honda Classic","PGA National (Champion)","exact_name_year"
"R2022009","Arnold Palmer Invitational presented by Mastercard",2022,"Arnold Palmer's Bay Hill Club & Lodge",9,"Arnold Palmer Invitational presented by Mastercard","Bay Hill Club & Lodge","exact_name_year"
"R2022483","Puerto Rico Open",2022,"Grand Reserve Golf Club",483,"Puerto Rico Open","Grand Reserve Golf Club","exact_name_year"
"R2022011","THE PLAYERS Championship",2022,"TPC Sawgrass (THE PLAYERS Stadium Course)",11,"THE PLAYERS Championship","TPC Sawgrass","exact_name_year"
"R2022475","Valspar Championship",2022,"Innisbrook Resort (Copperhead Course)",475,"Valspar Championship","Innisbrook Resort (Copperhead)","exact_name_year"
"R2022470","World Golf Championships-Dell Technologies Match Play",2022,"Austin Country Club",NA,NA,NA,"unmatched"
"R2022522","Corales Puntacana Championship",2022,"Puntacana Resort & Club (Corales Golf Course)",522,"Corales Puntacana Championship","Corales Golf Club","exact_name_year"
"R2022041","Valero Texas Open",2022,"TPC San Antonio (Oaks Course)",41,"Valero Texas Open","TPC San Antonio (Oaks Course)","exact_name_year"
"R2022014","Masters Tournament",2022,"Augusta National Golf Club",14,"The Masters","Augusta National Golf Club","partial_name_year"
"R2022012","RBC Heritage",2022,"Harbour Town Golf Links",12,"RBC Heritage","Harbour Town Golf Links","exact_name_year"
"R2022018","Zurich Classic of New Orleans",2022,"TPC Louisiana",NA,NA,NA,"unmatched"
"R2022540","Mexico Open at Vidanta",2022,"Vidanta Vallarta",540,"Mexico Open at Vidanta","Vidanta Vallarta","exact_name_year"
"R2022480","Wells Fargo Championship",2022,"TPC Potomac at Avenel Farm",480,"Wells Fargo Championship","TPC Potomac at Avenel Farm","exact_name_year"
"R2022019","AT&T Byron Nelson",2022,"TPC Craig Ranch",19,"AT&T Byron Nelson","TPC Craig Ranch","exact_name_year"
"R2022033","PGA Championship",2022,"Southern Hills CC",33,"PGA Championship","Southern Hills Country Club","exact_name_year"
"R2022021","Charles Schwab Challenge",2022,"Colonial Country Club",21,"Charles Schwab Challenge","Colonial Country Club","exact_name_year"
"R2022023","the Memorial Tournament presented by Workday",2022,"Muirfield Village Golf Club",23,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club","exact_name_year"
"R2022032","RBC Canadian Open",2022,"St. George's G&CC",32,"RBC Canadian Open","St. George's G&CC","exact_name_year"
"R2022026","U.S. Open",2022,"The Country Club",26,"U.S. Open","The Country Club","exact_name_year"
"R2022034","Travelers Championship",2022,"TPC River Highlands",34,"Travelers Championship","TPC River Highlands","exact_name_year"
"R2022030","John Deere Classic",2022,"TPC Deere Run",30,"John Deere Classic","TPC Deere Run","exact_name_year"
"R2022541","Genesis Scottish Open",2022,"The Renaissance Club",541,"Genesis Scottish Open","The Renaissance Club","exact_name_year"
"R2022518","Barbasol Championship",2022,"Keene Trace Golf Club (Champion Trace)",518,"Barbasol Championship","Keene Trace Golf Club","exact_name_year"
"R2022100","The Open Championship",2022,"St. Andrews GC (Old Course)",100,"The Open Championship","St. Andrews Links (Old Course)","exact_name_year"
"R2022472","Barracuda Championship",2022,"Tahoe Mountain Club (Old Greenwood)",472,"Barracuda Championship","Tahoe Mt. Club (Old Greenwood)","exact_name_year"
"R2022525","3M Open",2022,"TPC Twin Cities",525,"3M Open","TPC Twin Cities","exact_name_year"
"R2022524","Rocket Mortgage Classic",2022,"Detroit Golf Club",524,"Rocket Mortgage Classic","Detroit Golf Club","exact_name_year"
"R2022013","Wyndham Championship",2022,"Sedgefield Country Club",13,"Wyndham Championship","Sedgefield Country Club","exact_name_year"
"R2022027","FedEx St. Jude Championship",2022,"TPC Southwind",27,"FedEx St. Jude Championship","TPC Southwind","exact_name_year"
"R2022028","BMW Championship",2022,"Wilmington Country Club",28,"BMW Championship","Wilmington Country Club","exact_name_year"
"R2022060","TOUR Championship",2022,"East Lake Golf Club",60,"TOUR Championship","East Lake Golf Club","exact_name_year"
"R2023464","Fortinet Championship",2023,"Silverado Resort (North Course)",543,"Fortinet Championship #2","Silverado Resort (North Course)","partial_name_year"
"R2023500","Presidents Cup",2023,"Quail Hollow Club",NA,NA,NA,"unmatched"
"R2023054","Sanderson Farms Championship",2023,"The Country Club of Jackson",544,"Sanderson Farms Championship #2","The Country Club of Jackson","partial_name_year"
"R2023047","Shriners Children's Open",2023,"TPC Summerlin",545,"Shriners Children's Open #2","TPC Summerlin","partial_name_year"
"R2023527","ZOZO CHAMPIONSHIP",2023,"ACCORDIA GOLF Narashino Country Club",546,"ZOZO CHAMPIONSHIP #2","Accordia Golf Narashino Country Club","partial_name_year"
"R2023521","THE CJ CUP in South Carolina",2023,"Congaree Golf Club",NA,NA,NA,"unmatched"
"R2023528","Butterfield Bermuda Championship",2023,"Port Royal Golf Course",548,"Butterfield Bermuda Championship #2","Port Royal Golf Course","partial_name_year"
"R2023457","World Wide Technology Championship",2023,"El Camaleón Golf Course at Mayakoba",547,"World Wide Technology Championship #2","El Cardonal at Diamante","partial_name_year"
"R2023020","Cadence Bank Houston Open",2023,"Memorial Park Golf Course",NA,NA,NA,"unmatched"
"R2023493","The RSM Classic",2023,"Sea Island Golf Club (Seaside Course)",549,"The RSM Classic #2","Sea Island Golf Club (Plantation Course)","partial_name_year"
"R2023478","Hero World Challenge",2023,"Albany GC",550,"Hero World Challenge #2","Albany GC","partial_name_year"
"R2023058","QBE Shootout",2023,"Tiburón Golf Course",NA,NA,NA,"unmatched"
"R2023016","Sentry Tournament of Champions",2023,"Plantation Course at Kapalua",16,"Sentry Tournament of Champions","Plantation Course at Kapalua","exact_name_year"
"R2023006","Sony Open in Hawaii",2023,"Waialae Country Club",6,"Sony Open in Hawaii","Waialae Country Club","exact_name_year"
"R2023002","The American Express",2023,"Pete Dye Stadium Course",2,"The American Express","La Quinta Country Club","exact_name_year"
"R2023004","Farmers Insurance Open",2023,"Torrey Pines Golf Course (South Course)",4,"Farmers Insurance Open","Torrey Pines Golf Course (South Course)","exact_name_year"
"R2023005","AT&T Pebble Beach Pro-Am",2023,"Pebble Beach Golf Links",5,"AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","exact_name_year"
"R2023003","WM Phoenix Open",2023,"TPC Scottsdale (Stadium Course)",3,"WM Phoenix Open","TPC Scottsdale (Stadium Course)","exact_name_year"
"R2023007","The Genesis Invitational",2023,"The Riviera Country Club",7,"The Genesis Invitational","The Riviera Country Club","exact_name_year"
"R2023010","The Honda Classic",2023,"PGA National Resort (The Champion)",10,"The Honda Classic","PGA National Resort (The Champion)","exact_name_year"
"R2023009","Arnold Palmer Invitational presented by Mastercard",2023,"Arnold Palmer's Bay Hill Club & Lodge",9,"Arnold Palmer Invitational presented by Mastercard","Arnold Palmer's Bay Hill Club & Lodge","exact_name_year"
"R2023483","Puerto Rico Open",2023,"Grand Reserve Golf Club",483,"Puerto Rico Open","Grand Reserve Golf Club","exact_name_year"
"R2023011","THE PLAYERS Championship",2023,"TPC Sawgrass (THE PLAYERS Stadium Course)",11,"THE PLAYERS Championship","TPC Sawgrass (THE PLAYERS Stadium Course)","exact_name_year"
"R2023475","Valspar Championship",2023,"Innisbrook Resort (Copperhead Course)",475,"Valspar Championship","Innisbrook Resort (Copperhead Course)","exact_name_year"
"R2023470","World Golf Championships-Dell Technologies Match Play",2023,"Austin Country Club",NA,NA,NA,"unmatched"
"R2023522","Corales Puntacana Championship",2023,"Puntacana Resort & Club (Corales Golf Course)",522,"Corales Puntacana Championship","Puntacana Resort & Club (Corales Golf Course)","exact_name_year"
"R2023041","Valero Texas Open",2023,"TPC San Antonio (Oaks Course)",41,"Valero Texas Open","TPC San Antonio (Oaks Course)","exact_name_year"
"R2023014","Masters Tournament",2023,"Augusta National Golf Club",14,"Masters Tournament","Augusta National Golf Club","exact_name_year"
"R2023012","RBC Heritage",2023,"Harbour Town Golf Links",12,"RBC Heritage","Harbour Town Golf Links","exact_name_year"
"R2023018","Zurich Classic of New Orleans",2023,"TPC Louisiana",18,"Zurich Classic of New Orleans","TPC Louisiana","exact_name_year"
"R2023540","Mexico Open at Vidanta",2023,"Vidanta Vallarta",540,"Mexico Open at Vidanta","Vidanta Vallarta","exact_name_year"
"R2023480","Wells Fargo Championship",2023,"Quail Hollow Club",480,"Wells Fargo Championship","Quail Hollow Club","exact_name_year"
"R2023019","AT&T Byron Nelson",2023,"TPC Craig Ranch",19,"AT&T Byron Nelson","TPC Craig Ranch","exact_name_year"
"R2023033","PGA Championship",2023,"Oak Hill Country Club - East Course",33,"PGA Championship","Oak Hill Country Club","exact_name_year"
"R2023021","Charles Schwab Challenge",2023,"Colonial Country Club",21,"Charles Schwab Challenge","Colonial Country Club","exact_name_year"
"R2023023","the Memorial Tournament presented by Workday",2023,"Muirfield Village Golf Club",23,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club","exact_name_year"
"R2023032","RBC Canadian Open",2023,"Oakdale Golf & Country Club",32,"RBC Canadian Open","Oakdale Golf & Country Club","exact_name_year"
"R2023026","U.S. Open",2023,"The Los Angeles Country Club (North Course)",26,"U.S. Open","The Los Angeles Country Club (North Course)","exact_name_year"
"R2023034","Travelers Championship",2023,"TPC River Highlands",34,"Travelers Championship","TPC River Highlands","exact_name_year"
"R2023524","Rocket Mortgage Classic",2023,"Detroit Golf Club",524,"Rocket Mortgage Classic","Detroit Golf Club","exact_name_year"
"R2023030","John Deere Classic",2023,"TPC Deere Run",30,"John Deere Classic","TPC Deere Run","exact_name_year"
"R2023541","Genesis Scottish Open",2023,"The Renaissance Club",541,"Genesis Scottish Open","The Renaissance Club","exact_name_year"
"R2023518","Barbasol Championship",2023,"Keene Trace Golf Club (Champion Trace)",518,"Barbasol Championship","Keene Trace Golf Club (Champions Course)","exact_name_year"
"R2023100","The Open Championship",2023,"Royal Liverpool",100,"The Open Championship","Royal Liverpool","exact_name_year"
"R2023472","Barracuda Championship",2023,"Tahoe Mountain Club (Old Greenwood)",472,"Barracuda Championship","Tahoe Mountain Club (Old Greenwood)","exact_name_year"
"R2023525","3M Open",2023,"TPC Twin Cities",525,"3M Open","TPC Twin Cities","exact_name_year"
"R2023013","Wyndham Championship",2023,"Sedgefield Country Club",13,"Wyndham Championship","Sedgefield Country Club","exact_name_year"
"R2023027","FedEx St. Jude Championship",2023,"TPC Southwind",27,"FedEx St. Jude Championship","TPC Southwind","exact_name_year"
"R2023028","BMW Championship",2023,"Olympia Fields Country Club (North Course)",28,"BMW Championship","Olympia Fields Country Club (North Course)","exact_name_year"
"R2023060","TOUR Championship",2023,"East Lake Golf Club",60,"TOUR Championship","East Lake Golf Club","exact_name_year"
"R2023543","Fortinet Championship",2023,"Silverado Resort (North Course)",543,"Fortinet Championship #2","Silverado Resort (North Course)","partial_name_year"
"R2023468","Ryder Cup",2023,"Marco Simone Golf & Country Club",NA,NA,NA,"unmatched"
"R2023544","Sanderson Farms Championship",2023,"The Country Club of Jackson",544,"Sanderson Farms Championship #2","The Country Club of Jackson","partial_name_year"
"R2023545","Shriners Children's Open",2023,"TPC Summerlin",545,"Shriners Children's Open #2","TPC Summerlin","partial_name_year"
"R2023546","ZOZO CHAMPIONSHIP",2023,"ACCORDIA GOLF Narashino Country Club",546,"ZOZO CHAMPIONSHIP #2","Accordia Golf Narashino Country Club","partial_name_year"
"R2023547","World Wide Technology Championship",2023,"El Cardonal at Diamante",547,"World Wide Technology Championship #2","El Cardonal at Diamante","partial_name_year"
"R2023548","Butterfield Bermuda Championship",2023,"Port Royal Golf Course",548,"Butterfield Bermuda Championship #2","Port Royal Golf Course","partial_name_year"
"R2023549","The RSM Classic",2023,"Sea Island Golf Club (Seaside Course)",549,"The RSM Classic #2","Sea Island Golf Club (Plantation Course)","partial_name_year"
"R2023550","Hero World Challenge",2023,"Albany GC",550,"Hero World Challenge #2","Albany GC","partial_name_year"
"R2023551","Grant Thornton Invitational",2023,"Tiburón Golf Club",NA,NA,NA,"unmatched"
"R2023088","PGA TOUR Q-School presented by Korn Ferry",2023,"Dye's Valley Course",88,"PGA TOUR Q-School presented by Korn Ferry","Dye's Valley Course","exact_name_year"
"R2024016","The Sentry",2024,"Plantation Course at Kapalua",16,"The Sentry","Plantation Course at Kapalua","exact_name_year"
"R2024006","Sony Open in Hawaii",2024,"Waialae Country Club",6,"Sony Open in Hawaii","Waialae Country Club","exact_name_year"
"R2024002","The American Express",2024,"Pete Dye Stadium Course",2,"The American Express","La Quinta Country Club","exact_name_year"
"R2024004","Farmers Insurance Open",2024,"Torrey Pines Golf Course (South Course)",4,"Farmers Insurance Open","Torrey Pines Golf Course (North Course)","exact_name_year"
"R2024005","AT&T Pebble Beach Pro-Am",2024,"Pebble Beach Golf Links",5,"AT&T Pebble Beach Pro-Am","Spyglass Hill Golf Course","exact_name_year"
"R2024003","WM Phoenix Open",2024,"TPC Scottsdale (Stadium Course)",3,"WM Phoenix Open","TPC Scottsdale (Stadium Course)","exact_name_year"
"R2024007","The Genesis Invitational",2024,"The Riviera Country Club",7,"The Genesis Invitational","The Riviera Country Club","exact_name_year"
"R2024540","Mexico Open at Vidanta",2024,"Vidanta Vallarta",540,"Mexico Open at Vidanta","Vidanta Vallarta","exact_name_year"
"R2024010","Cognizant Classic in The Palm Beaches",2024,"PGA National Resort (The Champion Course)",10,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)","exact_name_year"
"R2024009","Arnold Palmer Invitational presented by Mastercard",2024,"Arnold Palmer's Bay Hill Club & Lodge",9,"Arnold Palmer Invitational presented by Mastercard","Arnold Palmer's Bay Hill Club & Lodge","exact_name_year"
"R2024483","Puerto Rico Open",2024,"Grand Reserve Golf Club",483,"Puerto Rico Open","Grand Reserve Golf Club","exact_name_year"
"R2024011","THE PLAYERS Championship",2024,"TPC Sawgrass (THE PLAYERS Stadium Course)",11,"THE PLAYERS Championship","TPC Sawgrass (THE PLAYERS Stadium Course)","exact_name_year"
