"tournament_id","course_name","tournament_name","year"
"R2023480","Quail Hollow Club","Wells Fargo Championship",2023
"R2023019","TPC Craig Ranch","AT&T Byron Nelson",2023
"R2023033","Oak Hill Country Club - East Course","PGA Championship",2023
"R2023021","Colonial Country Club","Charles Schwab Challenge",2023
"R2023023","Muirfield Village Golf Club","the Memorial Tournament presented by Workday",2023
"R2023032","Oakdale Golf & Country Club","RBC Canadian Open",2023
"R2023026","The Los Angeles Country Club (North Course)","U.S. Open",2023
"R2023034","TPC River Highlands","Travelers Championship",2023
"R2023524","Detroit Golf Club","Rocket Mortgage Classic",2023
"R2023030","TPC Deere Run","John Deere Classic",2023
"R2023541","The Renaissance Club","Genesis Scottish Open",2023
"R2023518","Keene Trace Golf Club (Champion Trace)","Barbasol Championship",2023
"R2023100","Royal Liverpool","The Open Championship",2023
"R2023472","Tahoe Mountain Club (Old Greenwood)","Barracuda Championship",2023
"R2023525","TPC Twin Cities","3M Open",2023
"R2023013","Sedgefield Country Club","Wyndham Championship",2023
"R2023027","TPC Southwind","FedEx St. Jude Championship",2023
"R2023028","Olympia Fields Country Club (North Course)","BMW Championship",2023
"R2023060","East Lake Golf Club","TOUR Championship",2023
"R2023543","Silverado Resort (North Course)","Fortinet Championship",2023
"R2023468","Marco Simone Golf & Country Club","Ryder Cup",2023
"R2023544","The Country Club of Jackson","Sanderson Farms Championship",2023
"R2023545","TPC Summerlin","Shriners Children's Open",2023
"R2023546","ACCORDIA GOLF Narashino Country Club","ZOZO CHAMPIONSHIP",2023
"R2023547","El Cardonal at Diamante","World Wide Technology Championship",2023
"R2023548","Port Royal Golf Course","Butterfield Bermuda Championship",2023
"R2023549","Sea Island Golf Club (Seaside Course)","The RSM Classic",2023
"R2023550","Albany GC","Hero World Challenge",2023
"R2023551","Tiburón Golf Club","Grant Thornton Invitational",2023
"R2023088","Dye's Valley Course","PGA TOUR Q-School presented by Korn Ferry",2023
"R2024016","Plantation Course at Kapalua","The Sentry",2024
"R2024006","Waialae Country Club","Sony Open in Hawaii",2024
"R2024002","Pete Dye Stadium Course","The American Express",2024
"R2024004","Torrey Pines Golf Course (South Course)","Farmers Insurance Open",2024
"R2024005","Pebble Beach Golf Links","AT&T Pebble Beach Pro-Am",2024
"R2024003","TPC Scottsdale (Stadium Course)","WM Phoenix Open",2024
"R2024007","The Riviera Country Club","The Genesis Invitational",2024
"R2024540","Vidanta Vallarta","Mexico Open at Vidanta",2024
"R2024010","PGA National Resort (The Champion Course)","Cognizant Classic in The Palm Beaches",2024
"R2024009","Arnold Palmer's Bay Hill Club & Lodge","Arnold Palmer Invitational presented by Mastercard",2024
"R2024483","Grand Reserve Golf Club","Puerto Rico Open",2024
"R2024011","TPC Sawgrass (THE PLAYERS Stadium Course)","THE PLAYERS Championship",2024
"R2024475","Innisbrook Resort (Copperhead Course)","Valspar Championship",2024
"R2024020","Memorial Park Golf Course","Texas Children's Houston Open",2024
"R2024041","TPC San Antonio (Oaks Course)","Valero Texas Open",2024
"R2024014","Augusta National Golf Club","Masters Tournament",2024
"R2024012","Harbour Town Golf Links","RBC Heritage",2024
"R2024522","Puntacana Resort & Club (Corales Golf Course)","Corales Puntacana Championship",2024
"R2024018","TPC Louisiana","Zurich Classic of New Orleans",2024
"R2024019","TPC Craig Ranch","THE CJ CUP Byron Nelson",2024
"R2024480","Quail Hollow Club","Wells Fargo Championship",2024
"R2024553","Dunes Golf and Beach Club","Myrtle Beach Classic",2024
"R2024033","Valhalla Golf Club","PGA Championship",2024
"R2024021","Colonial Country Club","Charles Schwab Challenge",2024
"R2024032","Hamilton Golf & Country Club","RBC Canadian Open",2024
"R2024023","Muirfield Village Golf Club","the Memorial Tournament presented by Workday",2024
"R2024026","Pinehurst Resort & Country Club (Course No. 2)","U.S. Open",2024
"R2024034","TPC River Highlands","Travelers Championship",2024
