SPORT_EVENT,COMPETITION,EVENT_START_TIME_UTC,MARKET_NAME,MARKET_TYPE,SELECTION,INSTRUMENT_ID,PRICE_CHAN_ID,AMERICAN_ODDS_AT_PERIOD,OPENING_AMERICAN_ODDS,OPENING_IMPLIED_PROB,CLOSING_AMERICAN_ODDS,CLOSING_IMPLIED_PROB,TOTAL_PROB_MOVEMENT_PCT
A. Baddeley/T. Finau - Round 4,3M Open 2023,2023-07-30T17:25:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,T. Finau,999319383866867731,6,-210,-210,0.630892,-171,0.630892,0
G. Woodland/J. Thomas/J. Dahmen - Round 1,3M Open 2023,2023-07-27T17:54:00Z,G. Woodland Total Birdies,GOLF:FT:CTBIR,Over 4.0,6098341013763129365,10,-120,-120,0.513759,-106,0.513759,0
G. Woodland/J. Thomas/J. Dahmen - Round 1,3M Open 2023,2023-07-27T17:54:00Z,J. Dahmen Total Birdies,GOLF:FT:CTBIR,Over 3.5,8020252154743488533,10,-135,-135,0.54806,-121,0.54806,0
G. Woodland/J. Thomas/J. Dahmen - Round 1,3M Open 2023,2023-07-27T17:54:00Z,J. Thomas Total Birdies,GOLF:FT:CTBIR,Over 4.0,5033802651843428373,10,-125,-125,0.527117,-111,0.527117,0
G. Woodland/J. Thomas/J. Dahmen - Round 2,3M Open 2023,2023-07-28T12:29:00Z,G. Woodland Total Birdies,GOLF:FT:CTBIR,Under 5.0,6790179808330121217,10,105,105,0.459525,118,0.459525,0
G. Woodland/J. Thomas/J. Dahmen - Round 2,3M Open 2023,2023-07-28T12:29:00Z,J. Dahmen Total Birdies,GOLF:FT:CTBIR,Under 4.5,4142063227436269577,10,115,115,0.438879,128,0.438879,0
G. Woodland/J. Thomas/J. Dahmen - Round 2,3M Open 2023,2023-07-28T12:29:00Z,J. Thomas Total Birdies,GOLF:FT:CTBIR,Under 5.5,7402669357652508691,10,-135,-135,0.535763,-115,0.535763,0
J.T. Poston/L. Hodges - Round 4,3M Open 2023,2023-07-30T17:35:00Z,L. Hodges Total Birdies,GOLF:FT:CTBIR,Over 5.0,6513414177628618753,6,-110,-110,0.494388,102,0.494388,0
J.T. Poston/L. Hodges - Round 4,3M Open 2023,2023-07-30T17:35:00Z,L. Hodges Total Birdies,GOLF:FT:CTBIR,Under 5.0,2093131143364476929,6,-120,-120,0.505612,-102,0.505612,0
K.H. Lee/S. Theegala/C. Young - Round 1,3M Open 2023,2023-07-27T17:43:00Z,C. Young Total Birdies,GOLF:FT:CTBIR,Over 4.0,4057858538843406356,10,-145,-145,0.563567,-129,0.563567,0
K.H. Lee/S. Theegala/C. Young - Round 1,3M Open 2023,2023-07-27T17:43:00Z,K.H. Lee Total Birdies,GOLF:FT:CTBIR,Over 3.5,5092560553231777801,10,-145,-145,0.550318,-122,0.550318,0
K.H. Lee/S. Theegala/C. Young - Round 1,3M Open 2023,2023-07-27T17:43:00Z,S. Theegala Total Birdies,GOLF:FT:CTBIR,Over 4.0,8453371775157010452,10,100,100,0.473981,111,0.473981,0
K.H. Lee/S. Theegala/C. Young - Round 2,3M Open 2023,2023-07-28T12:18:00Z,C. Young Total Birdies,GOLF:FT:CTBIR,Under 5.5,1183198272253853697,10,-125,-125,0.520327,-108,0.520327,0
K.H. Lee/S. Theegala/C. Young - Round 2,3M Open 2023,2023-07-28T12:18:00Z,K.H. Lee Total Birdies,GOLF:FT:CTBIR,Under 4.5,2034378601826877449,10,110,110,0.446596,124,0.446596,0
K.H. Lee/S. Theegala/C. Young - Round 2,3M Open 2023,2023-07-28T12:18:00Z,S. Theegala Total Birdies,GOLF:FT:CTBIR,Under 5.0,4871646367070289929,10,100,100,0.468876,113,0.468876,0
M. Hughes/S-J. Im/V. Norrman - Round 1,3M Open 2023,2023-07-27T12:40:00Z,M. Hughes Total Birdies,GOLF:FT:CTBIR,Over 3.5,1008569747392692233,10,-135,-135,0.539012,-117,0.539012,0
M. Hughes/S-J. Im/V. Norrman - Round 1,3M Open 2023,2023-07-27T12:40:00Z,S-J. Im Total Birdies,GOLF:FT:CTBIR,Over 4.5,1265697138617876488,10,110,110,0.445502,124,0.445502,0
M. Hughes/S-J. Im/V. Norrman - Round 1,3M Open 2023,2023-07-27T12:40:00Z,V. Norrman Total Birdies,GOLF:FT:CTBIR,Over 4.0,8454005093854609416,10,100,100,0.475635,110,0.475635,0
M. Hughes/S-J. Im/V. Norrman - Round 2,3M Open 2023,2023-07-28T18:05:00Z,M. Hughes Total Birdies,GOLF:FT:CTBIR,Under 5.0,5137006901364260883,10,-145,-145,0.559285,-127,0.559285,0
M. Hughes/S-J. Im/V. Norrman - Round 2,3M Open 2023,2023-07-28T18:05:00Z,S-J. Im Total Birdies,GOLF:FT:CTBIR,Under 5.5,1606184793505792019,10,-125,-125,0.527475,-112,0.527475,0
M. Hughes/S-J. Im/V. Norrman - Round 2,3M Open 2023,2023-07-28T18:05:00Z,V. Norrman Total Birdies,GOLF:FT:CTBIR,Under 5.0,7478878707596918803,10,100,100,0.473807,111,0.473807,0
T. Finau/H. Matsuyama/S. Straka - Round 1,3M Open 2023,2023-07-27T12:29:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Over 4.0,1639073695224561665,10,-110,-110,0.497593,101,0.497593,0
T. Finau/H. Matsuyama/S. Straka - Round 1,3M Open 2023,2023-07-27T12:29:00Z,S. Straka Total Birdies,GOLF:FT:CTBIR,Over 4.0,1063035155386204181,10,105,105,0.458975,118,0.458975,0
T. Finau/H. Matsuyama/S. Straka - Round 1,3M Open 2023,2023-07-27T12:29:00Z,T. Finau Total Birdies,GOLF:FT:CTBIR,Over 4.0,2719937605793480724,10,-110,-110,0.497593,101,0.497593,0
T. Finau/H. Matsuyama/S. Straka - Round 2,3M Open 2023,2023-07-28T17:54:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Under 5.5,1266725971592740884,10,110,110,0.441951,126,0.441951,0
T. Finau/H. Matsuyama/S. Straka - Round 2,3M Open 2023,2023-07-28T17:54:00Z,S. Straka Total Birdies,GOLF:FT:CTBIR,Under 5.5,2635820258313371657,10,-120,-120,0.513885,-106,0.513885,0
T. Finau/H. Matsuyama/S. Straka - Round 2,3M Open 2023,2023-07-28T17:54:00Z,T. Finau Total Birdies,GOLF:FT:CTBIR,Under 5.5,2473690671728033801,10,110,110,0.441951,126,0.441951,0
A. Scott/M. Hughes/M. W. Lee - Round 2,AT&T Byron Nelson 2023,2023-05-12T17:33:00Z,A. Scott Round Score,GOLF:FT:CTSTR,Under 68.5,1580770687972540436,10,-105,-105,0.478613,109,0.478613,0
A. Scott/M. Hughes/M. W. Lee - Round 2,AT&T Byron Nelson 2023,2023-05-12T17:33:00Z,M. W. Lee Total Birdies,GOLF:FT:CTBIR,Under 4.0,4960709014174564361,10,-120,-120,0.50524,-102,0.50524,0
T. Hatton/S. Scheffler/P. Kizzire - Round 4,AT&T Byron Nelson 2023,2023-05-14T16:00:00Z,S. Scheffler Total Birdies,GOLF:FT:CTBIR,Over 4.5,2230778704530505729,10,-120,-120,0.508165,-103,0.508165,0
P. Cantlay/E. Grillo/J. Thomas - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:24:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,J. Thomas,2754021231847800881,2,110,110,0.440291,127,0.440291,0
P. Cantlay/E. Grillo/J. Thomas - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:24:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,J. Thomas,8487103557490442261,2,-135,-135,0.530645,-113,0.530645,0
P. Cantlay/E. Grillo/J. Thomas - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:24:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,P. Cantlay,3846038588368879669,2,-135,-135,0.530645,-113,0.530645,0
P. Cantlay/E. Grillo/J. Thomas - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:24:00Z,E. Grillo Total Birdies,GOLF:FT:CTBIR,Over 5.0,531389262624194580,2,105,105,0.460173,117,0.460173,0
P. Cantlay/E. Grillo/J. Thomas - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:24:00Z,E. Grillo Total Birdies,GOLF:FT:CTBIR,Under 5.0,5683612789452308500,2,-135,-135,0.539827,-117,0.539827,0
P. Cantlay/E. Grillo/J. Thomas - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:24:00Z,J. Thomas Total Birdies,GOLF:FT:CTBIR,Over 5.5,7954552901553881136,2,110,110,0.442539,126,0.442539,0
P. Cantlay/E. Grillo/J. Thomas - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:24:00Z,P. Cantlay Total Birdies,GOLF:FT:CTBIR,Over 5.5,981749225361244181,2,110,110,0.442539,126,0.442539,0
R. Mcllroy/X. Schauffele/A. Schenk - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T17:29:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,R. Mcllroy,2360695136266747948,2,-105,-105,0.466545,114,0.466545,0
R. Mcllroy/X. Schauffele/A. Schenk - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T17:29:00Z,A. Schenk Total Birdies,GOLF:FT:CTBIR,Under 4.5,7490295111841742891,2,110,110,0.451058,122,0.451058,0
R. Mcllroy/X. Schauffele/A. Schenk - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T17:29:00Z,X. Schauffele Total Birdies,GOLF:FT:CTBIR,Under 5.5,9534655802638381,2,-145,-145,0.553179,-124,0.553179,0
S. Scheffler/T. Detry/L. Aberg - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:35:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,L. Aberg,5639034190015758337,2,-135,-135,0.531802,-114,0.531802,0
S. Scheffler/T. Detry/L. Aberg - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:35:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,S. Scheffler,3513335165896884279,2,-180,-180,0.605795,-154,0.605795,0
S. Scheffler/T. Detry/L. Aberg - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:35:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,S. Scheffler,7066112321938784257,2,-125,-125,0.515604,-106,0.515604,0
S. Scheffler/T. Detry/L. Aberg - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:35:00Z,L. Aberg Total Birdies,GOLF:FT:CTBIR,Over 5.0,1747924111967649836,2,-135,-135,0.53991,-117,0.53991,0
S. Scheffler/T. Detry/L. Aberg - Round 3,AT&T Pebble Beach Pro-Am 2024,2024-02-03T18:35:00Z,S. Scheffler Total Birdies,GOLF:FT:CTBIR,Over 5.5,9016733910543630385,2,-110,-110,0.49318,103,0.49318,0
J. Spieth/J. Thomas - Round 1,AT&T Pebble Beach Pro-Am 2025,2025-01-30T17:27:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,J. Spieth,5015619622500302868,2,185,185,0.313872,219,0.313872,0
R. Fowler/V. Hovland - Round 1,AT&T Pebble Beach Pro-Am 2025,2025-01-30T18:32:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,V. Hovland,8644817234719146106,2,-110,-110,0.484487,106,0.484487,0
R. Fowler/V. Hovland - Round 1,AT&T Pebble Beach Pro-Am 2025,2025-01-30T18:32:00Z,R. Fowler Total Birdies,GOLF:FT:CTBIR,Over 3.5,1992578372627857521,2,-145,-145,0.538167,-117,0.538167,0
R. Fowler/V. Hovland - Round 1,AT&T Pebble Beach Pro-Am 2025,2025-01-30T18:32:00Z,V. Hovland Total Birdies,GOLF:FT:CTBIR,Over 3.5,83052130622767150,2,-165,-165,0.57386,-135,0.57386,0
R. Fowler/V. Hovland - Round 1,AT&T Pebble Beach Pro-Am 2025,2025-01-30T18:32:00Z,V. Hovland Total Birdies,GOLF:FT:CTBIR,Over 3.5,83052130622767150,10,-165,-165,0.57386,-135,0.57386,0
T. Finau/M. Homa - Round 1,AT&T Pebble Beach Pro-Am 2025,2025-01-30T18:19:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,T. Finau,6416098369124171897,2,100,100,0.462231,116,0.462231,0
T. Finau/M. Homa - Round 1,AT&T Pebble Beach Pro-Am 2025,2025-01-30T18:19:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,T. Finau,6416098369124171897,14,100,100,0.462231,116,0.462231,0
T. Finau/M. Homa - Round 1,AT&T Pebble Beach Pro-Am 2025,2025-01-30T18:19:00Z,T. Finau Total Birdies,GOLF:FT:CTBIR,Over 3.5,512442207594872841,2,-155,-155,0.563725,-129,0.563725,0
J. Spieth/X. Schauffele - Round 2,Arnold Palmer Invitational 2024,2024-03-08T15:00:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,Draw,1123959449697648696,2,700,700,0.113336,782,0.113336,0
J. Spieth/X. Schauffele - Round 2,Arnold Palmer Invitational 2024,2024-03-08T15:00:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,J. Spieth,2406359443591397432,2,110,110,0.43362,131,0.43362,0
J. Spieth/X. Schauffele - Round 2,Arnold Palmer Invitational 2024,2024-03-08T15:00:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,X. Schauffele,6390919213907443768,2,100,100,0.453044,121,0.453044,0
J. Spieth/X. Schauffele - Round 2,Arnold Palmer Invitational 2024,2024-03-08T15:00:00Z,J. Spieth Total Birdies,GOLF:FT:CTBIR,Over 4.0,3262355973396496434,2,-125,-125,0.522201,-109,0.522201,0
J. Spieth/X. Schauffele - Round 2,Arnold Palmer Invitational 2024,2024-03-08T15:00:00Z,J. Spieth Total Birdies,GOLF:FT:CTBIR,Over 4.5,8378414024461385784,2,-125,-125,0.52997,-113,0.52997,0
J. Spieth/X. Schauffele - Round 2,Arnold Palmer Invitational 2024,2024-03-08T15:00:00Z,J. Spieth Total Birdies,GOLF:FT:CTBIR,Under 4.5,8896327981608992824,6,100,100,0.47003,113,0.47003,0
J. Spieth/X. Schauffele - Round 2,Arnold Palmer Invitational 2024,2024-03-08T15:00:00Z,X. Schauffele Total Birdies,GOLF:FT:CTBIR,Over 4.5,2691493594999291957,2,-135,-135,0.539388,-117,0.539388,0
J. Spieth/X. Schauffele - Round 2,Arnold Palmer Invitational 2024,2024-03-08T15:00:00Z,X. Schauffele Total Birdies,GOLF:FT:CTBIR,Under 4.5,2730900091738783797,2,105,105,0.460612,117,0.460612,0
J. Spieth/X. Schauffele - Round 2,Arnold Palmer Invitational 2024,2024-03-08T15:00:00Z,X. Schauffele Total Birdies,GOLF:FT:CTBIR,Under 4.5,2730900091738783797,6,105,105,0.460612,117,0.460612,0
P. Cantlay/M. Fitzpatrick - Round 2,Arnold Palmer Invitational 2024,2024-03-08T13:35:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,P. Cantlay,8038392252594913330,2,-105,-105,0.477478,109,0.477478,0
P. Cantlay/M. Fitzpatrick - Round 2,Arnold Palmer Invitational 2024,2024-03-08T13:35:00Z,M. Fitzpatrick Total Birdies,GOLF:FT:CTBIR,Over 4.5,337236889791365164,2,-125,-125,0.518155,-108,0.518155,0
P. Cantlay/M. Fitzpatrick - Round 2,Arnold Palmer Invitational 2024,2024-03-08T13:35:00Z,M. Fitzpatrick Total Birdies,GOLF:FT:CTBIR,Under 4.5,4765119748426694700,2,-105,-105,0.481845,108,0.481845,0
P. Cantlay/M. Fitzpatrick - Round 2,Arnold Palmer Invitational 2024,2024-03-08T13:35:00Z,M. Fitzpatrick Total Birdies,GOLF:FT:CTBIR,Under 4.5,4765119748426694700,6,-105,-105,0.481845,108,0.481845,0
P. Cantlay/M. Fitzpatrick - Round 2,Arnold Palmer Invitational 2024,2024-03-08T13:35:00Z,P. Cantlay Total Birdies,GOLF:FT:CTBIR,Over 4.5,5138074092568313875,2,-145,-145,0.551109,-123,0.551109,0
P. Cantlay/M. Fitzpatrick - Round 2,Arnold Palmer Invitational 2024,2024-03-08T13:35:00Z,P. Cantlay Total Birdies,GOLF:FT:CTBIR,Under 4.5,1296503610421280787,2,110,110,0.448891,123,0.448891,0
P. Cantlay/M. Fitzpatrick - Round 2,Arnold Palmer Invitational 2024,2024-03-08T13:35:00Z,P. Cantlay Total Birdies,GOLF:FT:CTBIR,Under 4.5,1296503610421280787,6,110,110,0.448891,123,0.448891,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,Draw,8590927631877931052,2,700,700,0.113157,784,0.113157,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,H. Matsuyama,1869305188027465772,2,-105,-105,0.467689,119,0.455763,-1.19
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,H. Matsuyama,1869305188027465772,2,100,-105,0.467689,119,0.455763,-1.19
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,R. Henley,4563583665101865004,2,115,115,0.419155,139,0.419155,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Over 4.0,1699121193437364233,2,-135,-135,0.543408,-119,0.543408,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Over 4.5,5333980676358930477,2,-135,-135,0.546428,-120,0.546428,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Under 4.0,6191461821739433993,2,100,100,0.465659,115,0.465659,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Under 4.0,6191461821739433993,10,100,100,0.465659,115,0.465659,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Under 4.5,1996813352477392941,2,105,105,0.453572,120,0.453572,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Under 4.5,1996813352477392941,6,105,105,0.453572,120,0.453572,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,R. Henley Total Birdies,GOLF:FT:CTBIR,Over 4.0,5860447249127702536,2,-125,-125,0.522201,-109,0.522201,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,R. Henley Total Birdies,GOLF:FT:CTBIR,Over 4.5,5816991736394416178,2,-125,-125,0.522886,-110,0.522886,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,R. Henley Total Birdies,GOLF:FT:CTBIR,Under 4.0,1651833397349974024,2,-105,-105,0.486936,105,0.486936,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,R. Henley Total Birdies,GOLF:FT:CTBIR,Under 4.0,1651833397349974024,10,-105,-105,0.486936,105,0.486936,0
R. Henley/H. Matsuyama - Round 2,Arnold Palmer Invitational 2024,2024-03-08T17:15:00Z,R. Henley Total Birdies,GOLF:FT:CTBIR,Under 4.5,6455376983574183986,6,-105,-105,0.477114,110,0.477114,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,Draw,7203678209159462968,2,700,700,0.111707,795,0.111707,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,S. Burns,2056063835074986040,2,140,140,0.37648,166,0.37648,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,S. Scheffler,9022006558710300728,2,-125,-125,0.511813,-105,0.511813,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,S. Scheffler,9022006558710300728,4,-125,-125,0.511813,-105,0.511813,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,S. Burns Total Birdies,GOLF:FT:CTBIR,Over 4.5,9117708050791923764,2,-110,-110,0.501553,-101,0.501553,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,S. Burns Total Birdies,GOLF:FT:CTBIR,Over 4.5,9117708050791923764,10,-110,-110,0.501553,-101,0.501553,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,S. Burns Total Birdies,GOLF:FT:CTBIR,Under 4.5,33947602385633332,2,-110,-110,0.498447,101,0.498447,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,S. Burns Total Birdies,GOLF:FT:CTBIR,Under 4.5,33947602385633332,6,-110,-110,0.498447,101,0.498447,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,S. Burns Total Birdies,GOLF:FT:CTBIR,Under 4.5,33947602385633332,10,-110,-110,0.498447,101,0.498447,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,S. Scheffler Total Birdies,GOLF:FT:CTBIR,Over 5.0,7958594096697442360,2,115,115,0.438031,128,0.438031,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,S. Scheffler Total Birdies,GOLF:FT:CTBIR,Under 5.0,9032702607825305656,2,-145,-145,0.561969,-128,0.561969,0
S. Scheffler/S. Burns - Round 2,Arnold Palmer Invitational 2024,2024-03-08T18:10:00Z,S. Scheffler Total Birdies,GOLF:FT:CTBIR,Under 5.0,9032702607825305656,10,-145,-145,0.561969,-128,0.561969,0
A. Rai/S-J. Im - Round 1,Arnold Palmer Invitational 2025,2025-03-06T13:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,A. Rai,541069548386517174,2,120,120,0.410349,144,0.410349,0
A. Rai/S-J. Im - Round 1,Arnold Palmer Invitational 2025,2025-03-06T13:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,S-J. Im,3051826340645568694,2,-110,-110,0.482749,107,0.482749,0
H. Matsuyama/V. Hovland - Round 1,Arnold Palmer Invitational 2025,2025-03-06T14:55:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,Draw,3278484065641824429,2,700,700,0.106902,835,0.106902,0
H. Matsuyama/V. Hovland - Round 1,Arnold Palmer Invitational 2025,2025-03-06T14:55:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,H. Matsuyama,2364464447518146733,2,-110,-110,0.482749,107,0.482749,0
H. Matsuyama/V. Hovland - Round 1,Arnold Palmer Invitational 2025,2025-03-06T14:55:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,H. Matsuyama,2364464447518146733,14,-110,-110,0.482749,107,0.482749,0
H. Matsuyama/V. Hovland - Round 1,Arnold Palmer Invitational 2025,2025-03-06T14:55:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,V. Hovland,8236947255376740525,2,120,120,0.410349,144,0.410349,0
H. Matsuyama/V. Hovland - Round 1,Arnold Palmer Invitational 2025,2025-03-06T14:55:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,V. Hovland,8236947255376740525,16,120,120,0.410349,144,0.410349,0
H. Matsuyama/V. Hovland - Round 1,Arnold Palmer Invitational 2025,2025-03-06T14:55:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Over 3.5,4251261585153851565,2,-120,-120,0.48624,106,0.48624,0
H. Matsuyama/V. Hovland - Round 1,Arnold Palmer Invitational 2025,2025-03-06T14:55:00Z,H. Matsuyama Total Birdies,GOLF:FT:CTBIR,Under 3.5,3120858078683857069,2,-135,-135,0.51376,-106,0.51376,0
H. Matsuyama/V. Hovland - Round 1,Arnold Palmer Invitational 2025,2025-03-06T14:55:00Z,V. Hovland Total Birdies,GOLF:FT:CTBIR,Over 3.5,2413792937186689197,2,100,100,0.451564,121,0.451564,0
H. Matsuyama/V. Hovland - Round 1,Arnold Palmer Invitational 2025,2025-03-06T14:55:00Z,V. Hovland Total Birdies,GOLF:FT:CTBIR,Under 3.5,3913491613101064365,2,-155,-155,0.548436,-121,0.548436,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,Draw,4860021591034822829,2,700,700,0.110997,801,0.110997,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,J. Thomas,4720410002586337453,2,110,110,0.434688,130,0.434688,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,J. Thomas,4720410002586337453,4,110,110,0.434688,130,0.434688,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,J. Thomas,4720410002586337453,16,110,110,0.434688,130,0.434688,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,X. Schauffele,4168719048233451693,2,100,100,0.454315,120,0.454315,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,J. Thomas Total Birdies,GOLF:FT:CTBIR,Over 3.5,6949691818134732973,2,-190,-190,0.603732,-152,0.603732,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,J. Thomas Total Birdies,GOLF:FT:CTBIR,Under 3.5,108723984158949549,2,125,125,0.396268,152,0.396268,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,J. Thomas Total Birdies,GOLF:FT:CTBIR,Under 3.5,108723984158949549,6,125,125,0.396268,152,0.396268,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,J. Thomas Total Birdies,GOLF:FT:CTBIR,Under 3.5,108723984158949549,8,125,125,0.396268,152,0.396268,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,X. Schauffele Total Birdies,GOLF:FT:CTBIR,Over 3.5,5706698320980476095,2,-190,-190,0.613131,-158,0.613131,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,X. Schauffele Total Birdies,GOLF:FT:CTBIR,Under 3.5,2198394211258859711,2,130,130,0.386869,158,0.386869,0
J. Thomas/X. Schauffele - Round 1,Arnold Palmer Invitational 2025,2025-03-06T18:10:00Z,X. Schauffele Total Birdies,GOLF:FT:CTBIR,Under 3.5,2198394211258859711,6,130,130,0.386869,158,0.386869,0
