section,exported_at,projections_updated_at,event_name,course_used,display_round,pricing_mode,pricing_skill,market,rmse,mae,n_line_pairs,ev_threshold_pct,bet_side,bets,wins,losses,pushes,units_net,roi_pct
ev_backtest,2026-08-06T01:06:22Z,,The Open Championship,,,default,default,3-balls,,,,17.5,p3,179,49,118,12,-34.17,-19.1
ev_backtest,2026-08-06T01:06:22Z,,The Open Championship,,,default,default,3-balls,,,,20.0,p3,168,46,111,11,-31.97,-19.0
ev_backtest,2026-08-06T01:06:22Z,,The Open Championship,,,default,default,3-balls,,,,17.5,p2,125,41,73,11,-1.90,-1.5
ev_backtest,2026-08-06T01:06:22Z,,The Open Championship,,,default,default,3-balls,,,,20.0,p2,119,39,69,11,-0.65,-0.5
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,0.0,p3,383,104,240,39,-39.10,-10.2
ev_backtest_by_market,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,(all),default,default,3-balls,,,,0.0,pick,1247,388,762,97,-41.16,-3.3
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,2.5,p3,358,93,227,38,-45.70,-12.8
ev_backtest_by_market,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,(all),default,default,3-balls,,,,2.5,pick,1165,354,716,95,-53.44,-4.6
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,5.0,p3,327,89,204,34,-31.18,-9.5
ev_backtest_by_market,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,(all),default,default,3-balls,,,,5.0,pick,1071,337,651,83,-19.97,-1.9
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,7.5,p3,304,86,190,28,-23.13,-7.6
ev_backtest_by_market,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,(all),default,default,3-balls,,,,7.5,pick,985,314,596,75,-8.08,-0.8
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,10.0,p3,276,75,174,27,-27.35,-9.9
ev_backtest_by_market,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,(all),default,default,3-balls,,,,10.0,pick,888,287,532,69,9.90,1.1
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,12.5,p3,251,67,159,25,-26.61,-10.6
ev_backtest_by_market,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,(all),default,default,3-balls,,,,12.5,pick,799,258,478,63,14.35,1.8
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,15.0,p3,227,60,144,23,-24.41,-10.8
ev_backtest_by_market,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,(all),default,default,3-balls,,,,15.0,pick,714,229,428,57,6.77,0.9
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,0.0,p1,408,124,249,35,-9.83,-2.4
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,2.5,p1,380,117,229,34,-2.73,-0.7
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,5.0,p1,348,111,205,32,10.42,3.0
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,7.5,p1,320,102,187,31,10.24,3.2
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,10.0,p1,284,92,165,27,16.89,5.9
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,12.5,p1,249,81,145,23,17.39,7.0
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,15.0,p1,219,74,126,19,21.55,9.8
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,17.5,p1,199,66,116,17,16.05,8.1
ev_backtest_by_market,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,(all),default,default,3-balls,,,,17.5,pick,637,205,379,53,11.61,1.8
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,20.0,p1,179,63,101,15,26.00,14.5
ev_backtest_by_market,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,(all),default,default,3-balls,,,,20.0,pick,567,185,332,50,20.01,3.5
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,0.0,p2,456,160,273,23,7.77,1.7
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,2.5,p2,427,144,260,23,-5.01,-1.2
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,5.0,p2,396,137,242,17,0.79,0.2
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,7.5,p2,361,126,219,16,4.81,1.3
ev_backtest,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,3-balls,,,,10.0,p2,328,120,193,15,20.36,6.2
