captured_at,kl_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,kl_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,11676,"Finau, Tony",Total Score,70.5,156,-156,0.390625,0.609375,,68.38,5.26,10.38,2.08,14.17,8.12,28.79
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,14578,"Henley, Russell",Total Score,68.5,163,-163,0.38022813688212925,0.6197718631178707,,67.31,4.77,11.13,1.81,14.69,9.39,27.92
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,12965,"Fowler, Rickie",Total Score,68.5,135,-135,0.425531914893617,0.574468085106383,,66.84,4.99,10.71,1.89,14.83,8.87,28.17
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,15466,"Cantlay, Patrick",Total Score,67.5,-127,127,0.5594713656387665,0.44052863436123346,,66.56,5.2,10.7,1.78,14.42,8.67,28.25
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,18424,"Roy, Kevin",Total Score,69.5,190,-190,0.3448275862068966,0.6551724137931034,,67.28,4.84,10.79,2.03,13.07,8.47,28.9
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,29279,"Suber, Jackson",Total Score,69.5,213,-212,0.3194888178913738,0.6794871794871795,,67.63,5.18,10.48,1.91,14.19,8.36,28.75
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,14636,"Spieth, Jordan",Total Score,68.5,-144,144,0.5901639344262295,0.4098360655737705,,68.09,4.37,11.19,2.02,13.82,8.37,28.59
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,17536,"Spaun, J.J.",Total Score,68.5,174,-174,0.36496350364963503,0.635036496350365,,66.91,4.94,10.83,1.93,14.7,8.89,28.7
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,32319,"Koivun, Jackson",Total Score,67.5,-167,167,0.6254681647940075,0.37453183520599254,,67.83,4.31,11.12,2.14,13.64,8.7,28.7
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,32457,"Keefer, Johnny",Total Score,69.5,239,-239,0.2949852507374631,0.7050147492625368,,68.66,4.17,11.27,2.08,13.45,8.44,29.08
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,13562,"Matsuyama, Hideki",Total Score,67.5,-138,138,0.5798319327731093,0.42016806722689076,,66.88,5,10.48,2.16,14.58,8.57,28.08
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,30620,"Chatfield, Davis",Total Score,68.5,-170,170,0.6296296296296297,0.37037037037037035,,68.5,3.96,11.61,2.03,12.8,8.89,28.67
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,26651,"Young, Cameron",Total Score,68.5,182,-182,0.3546099290780142,0.6453900709219859,,65.73,5.12,10.92,1.68,14.24,8.04,28.22
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,27774,"Gotterup, Chris",Total Score,67.5,-102,102,0.504950495049505,0.49504950495049505,,66.03,4.68,11.09,1.86,14.67,8.45,27.79
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,16395,"Kohles, Ben",Total Score,69.5,186,-186,0.34965034965034963,0.6503496503496503,,67.06,4.47,11.54,1.73,14.07,9.27,29.23
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,24968,"Griffin, Ben",Total Score,68.5,163,-163,0.38022813688212925,0.6197718631178707,,66.55,4.49,11.32,1.87,14.32,9.22,27.57
2026-07-31T02:44:28Z,2026-07-31T02:43:44Z,2026-07-31T02:43:44Z,Rocket Classic,Detroit Golf Club North Course,2,2,21501,"Dalke, Brad",Total Score,70.5,-426,426,0.8098859315589354,0.19011406844106463,,68.31,2.59,12.13,2.85,11.64,8.42,29.06
