captured_at,czr_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,czr_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,12965,"Fowler, Rickie",Total Score,69.5,120,-150,0.45454545454545453,0.6,,65.41,5.04,10.71,1.86,13.82,8.88,28.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,14609,"Kim, Si Woo",Total Score,68.5,105,-135,0.4878048780487805,0.574468085106383,,66.95,4.51,11.44,1.77,14.06,9.27,28.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,14577,"English, Harris",Total Score,69.5,115,-145,0.46511627906976744,0.5918367346938775,,66.08,4.62,11.07,1.98,13.25,8.81,28.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,23604,"Clark, Wyndham",Total Score,68.5,-129,-114,0.5633187772925764,0.5327102803738317,,67.27,4.64,11,1.88,13.78,8.23,27.9
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,27900,"Potgieter, Aldrich",Total Score,69.5,-115,-115,0.5348837209302325,0.5348837209302325,,66.8,5,10.25,2.27,13.52,8.07,29.4
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,27364,"Thompson, Davis",Total Score,69.5,120,-150,0.45454545454545453,0.6,,66.26,4.78,11.02,1.87,14.77,8.65,29.4
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,17381,"Silverman, Ben",Total Score,70.5,105,-135,0.4878048780487805,0.574468085106383,,69.45,5.14,10.5,2,12.29,8.44,29.7
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,16395,"Kohles, Ben",Total Score,69.5,100,-130,0.5,0.5652173913043478,,68.12,4.42,11.45,1.85,14.35,9.26,30.2
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,18103,"Bezuidenhout, Christiaan",Birdies,3.5,-105,-125,0.5121951219512195,0.5555555555555556,,66.63,4.37,11.48,1.87,14.11,8.53,28.5
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,32319,"Koivun, Jackson",Birdies,4.5,135,-175,0.425531914893617,0.6363636363636364,,65.86,4.37,11.13,2.11,14.38,8.37,29.1
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,23604,"Clark, Wyndham",Birdies,3.5,-180,140,0.6428571428571429,0.4166666666666667,,67.27,4.64,11,1.88,13.78,8.23,27.9
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,13872,"Bradley, Keegan",Birdies,3.5,-135,105,0.574468085106383,0.4878048780487805,,65.8,4.81,10.74,2.05,14.03,8.44,29.2
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,12965,"Fowler, Rickie",Birdies,3.5,-135,105,0.574468085106383,0.4878048780487805,,65.41,5.04,10.71,1.86,13.82,8.88,28.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,19895,"Schauffele, Xander",Birdies,3.5,-170,130,0.6296296296296297,0.43478260869565216,,66.38,4.22,11.75,1.77,14.08,10.15,28.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,27774,"Gotterup, Chris",Birdies,4.5,127,-165,0.44052863436123346,0.6226415094339622,,66.79,4.36,11.41,1.83,14.01,8.45,28.4
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,14609,"Kim, Si Woo",Birdies,3.5,-165,127,0.6226415094339622,0.44052863436123346,,66.95,4.51,11.44,1.77,14.06,9.27,28.8
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,29767,"Gerard, Ryan",Birdies,3.5,-140,110,0.5833333333333334,0.47619047619047616,,65.46,4.77,10.78,2.07,13.98,8.93,28.6
2026-07-30T04:48:23Z,2026-07-30T02:27:19Z,2026-07-30T02:35:40Z,Rocket Classic,Detroit Golf Club North Course,1,1,27364,"Thompson, Davis",Birdies,3.5,-140,110,0.5833333333333334,0.47619047619047616,,66.26,4.78,11.02,1.87,14.77,8.65,29.4
