captured_at,pp_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,pp_line,over_odds,under_odds,p_over_implied,p_under_implied,pp_odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,16243,"Koepka, Brooks",Pars,11,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.64,3.79,10.13,3.64,12.02,8.11,29.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,28635,"McCarty, Matt",Birdies,3.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.34,3.87,10.2,3.56,12.44,8.65,29.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,16841,"Lee, Min Woo",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.38,3.89,10.26,3.36,12.67,8.47,29.4
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,16243,"Koepka, Brooks",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.64,3.79,10.13,3.64,12.02,8.11,29.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,15466,"Cantlay, Patrick",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.51,3.87,10.56,3.13,13.09,8.72,29.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23602,"Hojgaard, Nicolai",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.7,3.85,10.31,3.28,12.76,7.63,29.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23602,"Hojgaard, Nicolai",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.7,3.85,10.31,3.28,12.76,7.63,29.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,15466,"Cantlay, Patrick",Total Score,68.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.51,3.87,10.56,3.13,13.09,8.72,29.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,15466,"Cantlay, Patrick",Pars,11.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.51,3.87,10.56,3.13,13.09,8.72,29.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23602,"Hojgaard, Nicolai",Pars,11,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.7,3.85,10.31,3.28,12.76,7.63,29.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,15466,"Cantlay, Patrick",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.51,3.87,10.56,3.13,13.09,8.72,29.2
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,6430,"Scott, Adam",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.3,3.87,10.44,3.19,12.93,8.33,30.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,6430,"Scott, Adam",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.3,3.87,10.44,3.19,12.93,8.33,30.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,21407,"Reitan, Kristoffer",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.7,3.86,10.24,3.35,12.34,8.54,29.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,21891,"Kitayama, Kurt",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.4,3.89,10.46,3.12,13.09,8.67,29.9
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,19895,"Schauffele, Xander",Total Score,68,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,67.5,3.89,10.84,2.83,13.11,8.59,29.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,21891,"Kitayama, Kurt",Pars,11.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.4,3.89,10.46,3.12,13.09,8.67,29.9
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,6430,"Scott, Adam",Pars,11.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.3,3.87,10.44,3.19,12.93,8.33,30.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,21407,"Reitan, Kristoffer",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.7,3.86,10.24,3.35,12.34,8.54,29.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,21891,"Kitayama, Kurt",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.4,3.89,10.46,3.12,13.09,8.67,29.9
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,21891,"Kitayama, Kurt",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.4,3.89,10.46,3.12,13.09,8.67,29.9
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,6430,"Scott, Adam",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.3,3.87,10.44,3.19,12.93,8.33,30.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,23323,"MacIntyre, Robert",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.21,4.1,10.33,3.13,12.15,8.64,28.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,13900,"Lowry, Shane",Birdies,3.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.47,3.79,10.5,3.19,12.98,9.04,29.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,18554,"Rai, Aaron",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.96,3.8,10.4,3.34,12.98,10.04,29.7
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,17536,"Spaun, J.J.",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.55,3.91,10.17,3.48,13.04,9.22,29.8
