exported_at,projections_updated_at,dk_round_props_refreshed_at,event_name,course_used,display_round,round_num,dg_id,player_name,country,market,side,line,american_odds,over_odds,under_odds,book,model_projection,p_model,p_implied,edge_pct,mu_sg,bet,bet_reason,bet_gap,bet_gap_need
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,10419,"Noren, Alex",SWE,Birdies,under,4.5,-132,-106,-132,draftkings,4.87,0.4358,0.569,-13.32,2.447,NO,inside_gap,0.37,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,17365,"Mitchell, Keith",USA,Birdies,over,4.5,-122,-122,-115,draftkings,4.9,0.5697,0.5495,2.01,2.696,NO,inside_gap,0.4,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,17365,"Mitchell, Keith",USA,Birdies,under,4.5,-115,-122,-115,draftkings,4.9,0.4303,0.5349,-10.46,2.696,NO,inside_gap,0.4,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,17550,"Van Rooyen, Erik",RSA,Birdies,over,4.5,132,132,-188,draftkings,4.74,0.5416,0.431,11.05,1.759,NO,inside_gap,0.24,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,17550,"Van Rooyen, Erik",RSA,Birdies,under,4.5,-188,132,-188,draftkings,4.74,0.4584,0.6528,-19.43,1.759,NO,inside_gap,0.24,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,16395,"Kohles, Ben",USA,Birdies,over,4.5,-104,-104,-136,draftkings,5.05,0.5937,0.5098,8.39,2.805,NO,inside_gap,0.55,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,16395,"Kohles, Ben",USA,Birdies,under,4.5,-136,-104,-136,draftkings,5.05,0.4063,0.5763,-17,2.805,NO,inside_gap,0.55,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,20706,"Wallace, Matt",ENG,Birdies,over,4.5,-108,-108,-132,draftkings,5.09,0.599,0.5192,7.98,2.538,NO,inside_gap,0.59,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,20706,"Wallace, Matt",ENG,Birdies,under,4.5,-132,-108,-132,draftkings,5.09,0.401,0.569,-16.8,2.538,NO,inside_gap,0.59,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,29827,"James, Ben",USA,Birdies,over,4.5,-114,-114,-125,draftkings,5.01,0.5876,0.5327,5.49,2.207,NO,inside_gap,0.51,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,29827,"James, Ben",USA,Birdies,under,4.5,-125,-114,-125,draftkings,5.01,0.4124,0.5556,-14.31,2.207,NO,inside_gap,0.51,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,14509,"Dahmen, Joel",USA,Birdies,over,4.5,130,130,-182,draftkings,4.75,0.5443,0.4348,10.95,2.114,NO,inside_gap,0.25,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,14509,"Dahmen, Joel",USA,Birdies,under,4.5,-182,130,-182,draftkings,4.75,0.4557,0.6454,-18.97,2.114,NO,inside_gap,0.25,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18424,"Roy, Kevin",USA,Birdies,over,4.5,108,108,-152,draftkings,4.69,0.5338,0.4808,5.3,2.196,NO,inside_gap,0.19,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18424,"Roy, Kevin",USA,Birdies,under,4.5,-152,108,-152,draftkings,4.69,0.4662,0.6032,-13.7,2.196,NO,inside_gap,0.19,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,26651,"Young, Cameron",USA,Birdies,over,5.5,112,112,-158,draftkings,5.39,0.4812,0.4717,0.95,3.457,NO,inside_gap,-0.11,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,26651,"Young, Cameron",USA,Birdies,under,5.5,-158,112,-158,draftkings,5.39,0.5188,0.6124,-9.36,3.457,NO,inside_gap,-0.11,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,13872,"Bradley, Keegan",USA,Birdies,over,4.5,-122,-122,-115,draftkings,4.86,0.5619,0.5495,1.24,2.615,NO,inside_gap,0.36,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,13872,"Bradley, Keegan",USA,Birdies,under,4.5,-115,-122,-115,draftkings,4.86,0.4381,0.5349,-9.68,2.615,NO,inside_gap,0.36,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,17543,"Kim, Michael",USA,Birdies,over,4.5,-106,-106,-134,draftkings,5.01,0.5861,0.5146,7.16,2.544,NO,inside_gap,0.51,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,17543,"Kim, Michael",USA,Birdies,under,4.5,-134,-106,-134,draftkings,5.01,0.4139,0.5726,-15.88,2.544,NO,inside_gap,0.51,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,27194,"Hall, Harry",ENG,Birdies,over,4.5,106,106,-152,draftkings,4.9,0.5684,0.4854,8.29,1.971,NO,inside_gap,0.4,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,27194,"Hall, Harry",ENG,Birdies,under,4.5,-152,106,-152,draftkings,4.9,0.4316,0.6032,-17.15,1.971,NO,inside_gap,0.4,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,28635,"McCarty, Matt",USA,Birdies,over,4.5,108,108,-152,draftkings,4.96,0.578,0.4808,9.72,2.496,NO,inside_gap,0.46,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,28635,"McCarty, Matt",USA,Birdies,under,4.5,-152,108,-152,draftkings,4.96,0.422,0.6032,-18.11,2.496,NO,inside_gap,0.46,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18634,"McNealy, Maverick",USA,Birdies,over,4.5,-130,-130,-110,draftkings,5.2,0.6154,0.5652,5.02,2.617,NO,inside_gap,0.7,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18634,"McNealy, Maverick",USA,Birdies,under,4.5,-110,-130,-110,draftkings,5.2,0.3846,0.5238,-13.92,2.617,NO,inside_gap,0.7,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18586,"Smith, Jordan",ENG,Birdies,over,4.5,-112,-112,-128,draftkings,4.84,0.5586,0.5283,3.03,2.262,NO,inside_gap,0.34,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18586,"Smith, Jordan",ENG,Birdies,under,4.5,-128,-112,-128,draftkings,4.84,0.4414,0.5614,-12,2.262,NO,inside_gap,0.34,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,14636,"Spieth, Jordan",USA,Birdies,over,4.5,-120,-120,-118,draftkings,4.81,0.5541,0.5455,0.86,2.148,NO,inside_gap,0.31,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,14636,"Spieth, Jordan",USA,Birdies,under,4.5,-118,-120,-118,draftkings,4.81,0.4459,0.5413,-9.54,2.148,NO,inside_gap,0.31,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,17488,"Im, Sungjae",KOR,Birdies,over,4.5,-124,-124,-114,draftkings,5.05,0.5936,0.5536,4,2.489,NO,inside_gap,0.55,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,17488,"Im, Sungjae",KOR,Birdies,under,4.5,-114,-124,-114,draftkings,5.05,0.4064,0.5327,-12.63,2.489,NO,inside_gap,0.55,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,32319,"Koivun, Jackson",USA,Birdies,over,4.5,-168,-168,118,draftkings,5.4,0.6446,0.6269,1.77,3.088,NO,inside_gap,0.89,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,32319,"Koivun, Jackson",USA,Birdies,under,4.5,118,-168,118,draftkings,5.4,0.3554,0.4587,-10.33,3.088,NO,inside_gap,0.89,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,19846,"Bauchou, Zach",USA,Birdies,over,4.5,120,120,-168,draftkings,4.98,0.5813,0.4545,12.68,2.264,NO,inside_gap,0.48,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,19846,"Bauchou, Zach",USA,Birdies,under,4.5,-168,120,-168,draftkings,4.98,0.4187,0.6269,-20.82,2.264,NO,inside_gap,0.48,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,11276,"Horschel, Billy",USA,Birdies,over,4.5,-118,-118,-120,draftkings,4.93,0.5742,0.5413,3.3,2.306,NO,inside_gap,0.43,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,11276,"Horschel, Billy",USA,Birdies,under,4.5,-120,-118,-120,draftkings,4.93,0.4258,0.5455,-11.97,2.306,NO,inside_gap,0.43,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,13562,"Matsuyama, Hideki",JPN,Birdies,over,4.5,-164,-164,116,draftkings,5.1,0.6004,0.6212,-2.08,2.689,NO,inside_gap,0.6,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,13562,"Matsuyama, Hideki",JPN,Birdies,under,4.5,116,-164,116,draftkings,5.1,0.3996,0.463,-6.34,2.689,NO,inside_gap,0.6,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,27164,"Phillips, Chandler",USA,Birdies,over,4.5,128,128,-180,draftkings,5.03,0.5893,0.4386,15.07,2.393,NO,inside_gap,0.53,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,27164,"Phillips, Chandler",USA,Birdies,under,4.5,-180,128,-180,draftkings,5.03,0.4107,0.6429,-23.22,2.393,NO,inside_gap,0.53,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,22465,"Penge, Marco",ENG,Birdies,over,4.5,-112,-112,-126,draftkings,4.69,0.5345,0.5283,0.62,1.975,NO,inside_gap,0.19,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,22465,"Penge, Marco",ENG,Birdies,under,4.5,-126,-112,-126,draftkings,4.69,0.4655,0.5575,-9.2,1.975,NO,inside_gap,0.19,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,13126,"Taylor, Nick",CAN,Birdies,over,4.5,106,106,-150,draftkings,4.86,0.5631,0.4854,7.77,2.299,NO,inside_gap,0.36,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,13126,"Taylor, Nick",CAN,Birdies,under,4.5,-150,106,-150,draftkings,4.86,0.4369,0.6,-16.31,2.299,NO,inside_gap,0.36,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,14139,"Thomas, Justin",USA,Birdies,over,4.5,-152,-152,108,draftkings,4.91,0.5708,0.6032,-3.24,2.593,NO,inside_gap,0.41,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,14139,"Thomas, Justin",USA,Birdies,under,4.5,108,-152,108,draftkings,4.91,0.4292,0.4808,-5.16,2.593,NO,inside_gap,0.41,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,21756,"Cole, Eric",USA,Birdies,over,4.5,-106,-106,-132,draftkings,5.15,0.6086,0.5146,9.4,2.396,NO,inside_gap,0.65,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,21756,"Cole, Eric",USA,Birdies,under,4.5,-132,-106,-132,draftkings,5.15,0.3914,0.569,-17.75,2.396,NO,inside_gap,0.65,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,29279,"Suber, Jackson",USA,Birdies,over,4.5,100,100,-140,draftkings,4.91,0.5702,0.5,7.02,2.237,NO,inside_gap,0.41,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,29279,"Suber, Jackson",USA,Birdies,under,4.5,-140,100,-140,draftkings,4.91,0.4298,0.5833,-15.35,2.237,NO,inside_gap,0.41,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18554,"Rai, Aaron",ENG,Birdies,over,4.5,-114,-114,-125,draftkings,5.02,0.5882,0.5327,5.55,2.848,NO,inside_gap,0.52,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,18554,"Rai, Aaron",ENG,Birdies,under,4.5,-125,-114,-125,draftkings,5.02,0.4118,0.5556,-14.38,2.848,NO,inside_gap,0.52,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,19870,"McCarthy, Denny",USA,Birdies,over,4.5,110,110,-156,draftkings,4.89,0.5675,0.4762,9.14,2.369,NO,inside_gap,0.39,1
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,19870,"McCarthy, Denny",USA,Birdies,under,4.5,-156,110,-156,draftkings,4.89,0.4325,0.6094,-17.69,2.369,NO,inside_gap,0.39,0.5
2026-08-09T04:37:08Z,2026-08-09T04:37:06.631Z,2026-08-09T04:34:06Z,Wyndham Championship,Sedgefield Country Club,4,4,23504,"Hoey, Rico",PHI,Birdies,over,4.5,108,108,-154,draftkings,4.9,0.5695,0.4808,8.87,2.325,NO,inside_gap,0.4,1
