captured_at,sl_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,sl_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-28T18:31:31Z,2026-07-28T18:31:12Z,2026-07-28T18:31:12Z,Rocket Classic,Detroit Golf Club,1,1,14578,"Henley, Russell",Birdies,3.5,-128,-128,0.5614035087719298,0.5614035087719298,sleeper_multiplier,68.65,4.47,11.61,1.63,14.21,10.04,27.98
2026-07-28T18:31:31Z,2026-07-28T18:31:12Z,2026-07-28T18:31:12Z,Rocket Classic,Detroit Golf Club,1,1,14578,"Henley, Russell",Bogeys,2.5,127,-222,0.44052863436123346,0.6894409937888198,sleeper_multiplier,68.65,4.47,11.61,1.63,14.21,10.04,27.98
2026-07-28T18:31:31Z,2026-07-28T18:31:12Z,2026-07-28T18:31:12Z,Rocket Classic,Detroit Golf Club,1,1,14578,"Henley, Russell",Total Score,68.5,-149,-111,0.5983935742971888,0.5260663507109005,sleeper_multiplier,68.65,4.47,11.61,1.63,14.21,10.04,27.98
2026-07-28T18:31:31Z,2026-07-28T18:31:12Z,2026-07-28T18:31:12Z,Rocket Classic,Detroit Golf Club,1,1,14609,"Kim, Si Woo",Bogeys,2.5,123,-217,0.4484304932735426,0.6845425867507886,sleeper_multiplier,68.82,4.51,11.6,1.6,14.35,9.71,28.26
2026-07-28T18:31:31Z,2026-07-28T18:31:12Z,2026-07-28T18:31:12Z,Rocket Classic,Detroit Golf Club,1,1,14609,"Kim, Si Woo",Total Score,68.5,-132,-125,0.5689655172413793,0.5555555555555556,sleeper_multiplier,68.82,4.51,11.6,1.6,14.35,9.71,28.26
2026-07-28T18:31:31Z,2026-07-28T18:31:12Z,2026-07-28T18:31:12Z,Rocket Classic,Detroit Golf Club,1,1,23604,"Clark, Wyndham",Bogeys,2.5,-103,-161,0.5073891625615764,0.6168582375478927,sleeper_multiplier,68.26,5.02,10.92,1.59,14.11,7.97,27.37
2026-07-28T18:31:31Z,2026-07-28T18:31:12Z,2026-07-28T18:31:12Z,Rocket Classic,Detroit Golf Club,1,1,23604,"Clark, Wyndham",Total Score,68.5,-137,-120,0.5780590717299579,0.5454545454545454,sleeper_multiplier,68.26,5.02,10.92,1.59,14.11,7.97,27.37
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,27774,"Gotterup, Chris",Birdies,3.5,-196,115,0.6621621621621622,0.46511627906976744,sleeper_multiplier,70.59,4.48,11.59,1.53,14.35,8.07,27.9
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,27774,"Gotterup, Chris",Bogeys,2.5,-104,-159,0.5098039215686274,0.6138996138996139,sleeper_multiplier,70.59,4.48,11.59,1.53,14.35,8.07,27.9
2026-07-28T18:33:22Z,2026-07-28T18:31:12Z,2026-07-28T18:32:11Z,Rocket Classic,Detroit Golf Club,1,1,27774,"Gotterup, Chris",Total Score,68.5,-132,-125,0.5689655172413793,0.5555555555555556,sleeper_multiplier,70.59,4.48,11.59,1.53,14.35,8.07,27.9
